127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000407
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000871
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/images/facebook.png, HTTP/1.1, 304, 0.000289
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/images/gplus-32.png, HTTP/1.1, 304, 0.000786
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/images/twitter.png, HTTP/1.1, 304, 0.000779
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/default/design/easyflow, HTTP/1.1, 200, 0.176739
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.003351
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001504
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000710
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001993
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000342
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001101
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.001511
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000536
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000166
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.001763
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.001884
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.003342
127.0.0.1, 2013-07-31 18:21:24, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.001031
127.0.0.1, 2013-07-31 18:21:35, GET, /easyflow/default/index, HTTP/1.1, 200, 0.264558
127.0.0.1, 2013-07-31 18:21:35, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000926
127.0.0.1, 2013-07-31 18:21:51, GET, /easyflow/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000465
127.0.0.1, 2013-07-31 18:21:52, GET, /easyflow/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/default/peek/easyflow/controllers/appadmin.py, HTTP/1.1, 200, 0.170687
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000206
127.0.0.1, 2013-07-31 18:22:04, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000436
